family,gotript,gobookt,numiworks,stayviaowner,TOTAL
OTHER: hotels/adults-only-hotels-in-fukuoka,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-gatlinburg,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-geneva,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-goa,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-gold-coast,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-granada,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-grindelwald,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-hakone,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-hallstatt,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-hamburg,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-hanoi,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-havana,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-helsinki,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-hiroshima,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-ho-chi-minh-city,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-hoi-an,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-hong-kong,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-honolulu,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-hue,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-ibiza,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-innsbruck,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-interlaken,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-istanbul,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-jaipur,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-jeju,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-jodhpur,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-johannesburg,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-kanazawa,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-kandy,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-kathmandu,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-koh-samui,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-krabi,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-krakow,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-kuala-lumpur,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-kyoto,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-lake-bled,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-lake-como,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-lake-tahoe,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-langkawi,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-las-vegas,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-lauterbrunnen,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-lima,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-lisbon,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-london,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-los-angeles,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-luang-prabang,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-lucerne,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-lugano,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-luxor,0,1,0,0,1
OTHER: hotels/adults-only-hotels-in-lyon,0,1,0,0,1
