family,gotript,gobookt,numiworks,stayviaowner,TOTAL
OTHER: hotels/business-hotels-in-merida,0,1,0,0,1
OTHER: hotels/business-hotels-in-mexico-city,0,1,0,0,1
OTHER: hotels/business-hotels-in-miami,0,1,0,0,1
OTHER: hotels/business-hotels-in-milan,0,1,0,0,1
OTHER: hotels/business-hotels-in-montreal,0,1,0,0,1
OTHER: hotels/business-hotels-in-montreux,0,1,0,0,1
OTHER: hotels/business-hotels-in-mumbai,0,1,0,0,1
OTHER: hotels/business-hotels-in-munich,0,1,0,0,1
OTHER: hotels/business-hotels-in-murren,0,1,0,0,1
OTHER: hotels/business-hotels-in-muscat,0,1,0,0,1
OTHER: hotels/business-hotels-in-mykonos,0,1,0,0,1
OTHER: hotels/business-hotels-in-myrtle-beach,0,1,0,0,1
OTHER: hotels/business-hotels-in-nadi,0,1,0,0,1
OTHER: hotels/business-hotels-in-nairobi,0,1,0,0,1
OTHER: hotels/business-hotels-in-naples,0,1,0,0,1
OTHER: hotels/business-hotels-in-nara,0,1,0,0,1
OTHER: hotels/business-hotels-in-nashville,0,1,0,0,1
OTHER: hotels/business-hotels-in-new-orleans,0,1,0,0,1
OTHER: hotels/business-hotels-in-new-york,0,1,0,0,1
OTHER: hotels/business-hotels-in-nice,0,1,0,0,1
OTHER: hotels/business-hotels-in-oaxaca,0,1,0,0,1
OTHER: hotels/business-hotels-in-okinawa,0,1,0,0,1
OTHER: hotels/business-hotels-in-orlando,0,1,0,0,1
OTHER: hotels/business-hotels-in-osaka,0,1,0,0,1
OTHER: hotels/business-hotels-in-oslo,0,1,0,0,1
OTHER: hotels/business-hotels-in-outer-banks,0,1,0,0,1
OTHER: hotels/business-hotels-in-palermo,0,1,0,0,1
OTHER: hotels/business-hotels-in-palm-springs,0,1,0,0,1
OTHER: hotels/business-hotels-in-panama-city,0,1,0,0,1
OTHER: hotels/business-hotels-in-paris,0,1,0,0,1
OTHER: hotels/business-hotels-in-pattaya,0,1,0,0,1
OTHER: hotels/business-hotels-in-penang,0,1,0,0,1
OTHER: hotels/business-hotels-in-perth,0,1,0,0,1
OTHER: hotels/business-hotels-in-petra,0,1,0,0,1
OTHER: hotels/business-hotels-in-phuket,0,1,0,0,1
OTHER: hotels/business-hotels-in-playa-del-carmen,0,1,0,0,1
OTHER: hotels/business-hotels-in-pokhara,0,1,0,0,1
OTHER: hotels/business-hotels-in-porto,0,1,0,0,1
OTHER: hotels/business-hotels-in-positano,0,1,0,0,1
OTHER: hotels/business-hotels-in-prague,0,1,0,0,1
OTHER: hotels/business-hotels-in-puerto-vallarta,0,1,0,0,1
OTHER: hotels/business-hotels-in-quebec-city,0,1,0,0,1
OTHER: hotels/business-hotels-in-queenstown,0,1,0,0,1
OTHER: hotels/business-hotels-in-quito,0,1,0,0,1
OTHER: hotels/business-hotels-in-reykjavik,0,1,0,0,1
OTHER: hotels/business-hotels-in-rhodes,0,1,0,0,1
OTHER: hotels/business-hotels-in-rio-de-janeiro,0,1,0,0,1
OTHER: hotels/business-hotels-in-rome,0,1,0,0,1
OTHER: hotels/business-hotels-in-salzburg,0,1,0,0,1
OTHER: hotels/business-hotels-in-san-diego,0,1,0,0,1
OTHER: hotels/business-hotels-in-san-francisco,0,1,0,0,1
OTHER: hotels/business-hotels-in-san-juan,0,1,0,0,1
OTHER: hotels/business-hotels-in-san-miguel-de-allende,0,1,0,0,1
OTHER: hotels/business-hotels-in-san-sebastian,0,1,0,0,1
OTHER: hotels/business-hotels-in-santiago,0,1,0,0,1
OTHER: hotels/business-hotels-in-santorini,0,1,0,0,1
OTHER: hotels/business-hotels-in-sapporo,0,1,0,0,1
OTHER: hotels/business-hotels-in-savannah,0,1,0,0,1
OTHER: hotels/business-hotels-in-scottsdale,0,1,0,0,1
OTHER: hotels/business-hotels-in-seattle,0,1,0,0,1
OTHER: hotels/business-hotels-in-seoul,0,1,0,0,1
OTHER: hotels/business-hotels-in-seville,0,1,0,0,1
OTHER: hotels/business-hotels-in-shanghai,0,1,0,0,1
OTHER: hotels/business-hotels-in-sharm-el-sheikh,0,1,0,0,1
OTHER: hotels/business-hotels-in-siem-reap,0,1,0,0,1
OTHER: hotels/business-hotels-in-singapore,0,1,0,0,1
OTHER: hotels/business-hotels-in-sintra,0,1,0,0,1
OTHER: hotels/business-hotels-in-sorrento,0,1,0,0,1
OTHER: hotels/business-hotels-in-split,0,1,0,0,1
OTHER: hotels/business-hotels-in-st-moritz,0,1,0,0,1
OTHER: hotels/business-hotels-in-stockholm,0,1,0,0,1
OTHER: hotels/business-hotels-in-strasbourg,0,1,0,0,1
OTHER: hotels/business-hotels-in-sydney,0,1,0,0,1
OTHER: hotels/business-hotels-in-taipei,0,1,0,0,1
OTHER: hotels/business-hotels-in-tallinn,0,1,0,0,1
OTHER: hotels/business-hotels-in-tel-aviv,0,1,0,0,1
OTHER: hotels/business-hotels-in-texas-hill-country,0,1,0,0,1
OTHER: hotels/business-hotels-in-tokyo,0,1,0,0,1
OTHER: hotels/business-hotels-in-toronto,0,1,0,0,1
OTHER: hotels/business-hotels-in-tulum,0,1,0,0,1
OTHER: hotels/business-hotels-in-udaipur,0,1,0,0,1
OTHER: hotels/business-hotels-in-ushuaia,0,1,0,0,1
OTHER: hotels/business-hotels-in-valencia,0,1,0,0,1
OTHER: hotels/business-hotels-in-vancouver,0,1,0,0,1
OTHER: hotels/business-hotels-in-varanasi,0,1,0,0,1
OTHER: hotels/business-hotels-in-venice,0,1,0,0,1
OTHER: hotels/business-hotels-in-verona,0,1,0,0,1
OTHER: hotels/business-hotels-in-victoria-falls,0,1,0,0,1
OTHER: hotels/business-hotels-in-vienna,0,1,0,0,1
OTHER: hotels/business-hotels-in-warsaw,0,1,0,0,1
OTHER: hotels/business-hotels-in-washington-dc,0,1,0,0,1
OTHER: hotels/business-hotels-in-wellington,0,1,0,0,1
OTHER: hotels/business-hotels-in-wengen,0,1,0,0,1
OTHER: hotels/business-hotels-in-whistler,0,1,0,0,1
OTHER: hotels/business-hotels-in-yogyakarta,0,1,0,0,1
OTHER: hotels/business-hotels-in-zanzibar,0,1,0,0,1
OTHER: hotels/business-hotels-in-zermatt,0,1,0,0,1
OTHER: hotels/business-hotels-in-zurich,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-abu-dhabi,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-agra,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-amman,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-amsterdam,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-antwerp,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-athens,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-auckland,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-austin,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-bali,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-banff,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-bangkok,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-barcelona,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-basel,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-beijing,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-bergen,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-berlin,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-bern,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-blue-ridge,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-bogota,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-bologna,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-bora-bora,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-boracay,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-bordeaux,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-boston,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-brisbane,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-broken-bow,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-bruges,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-brussels,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-bucharest,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-budapest,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-buenos-aires,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-busan,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cabo-san-lucas,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cairns,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cairo,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cancun,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cape-town,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cappadocia,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cartagena,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-casablanca,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cebu,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-charleston,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-chefchaouen,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-chiang-mai,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-chicago,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cinque-terre,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cologne,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-colombo,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-copenhagen,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-corfu,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-crete,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-cusco,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-da-nang,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-delhi,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-denver,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-destin,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-doha,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-dubai,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-dublin,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-dubrovnik,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-edinburgh,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-el-nido,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-fes,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-florence,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-fukuoka,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-gatlinburg,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-geneva,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-goa,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-gold-coast,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-granada,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-grindelwald,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-hakone,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-hallstatt,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-hamburg,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-hanoi,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-havana,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-helsinki,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-hiroshima,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-ho-chi-minh-city,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-hoi-an,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-hong-kong,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-honolulu,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-hue,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-ibiza,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-innsbruck,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-interlaken,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-istanbul,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-jaipur,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-jeju,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-jodhpur,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-johannesburg,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-kanazawa,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-kandy,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-kathmandu,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-koh-samui,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-krabi,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-krakow,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-kuala-lumpur,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-kyoto,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-lake-bled,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-lake-como,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-lake-tahoe,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-langkawi,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-las-vegas,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-lauterbrunnen,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-lima,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-lisbon,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-london,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-los-angeles,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-luang-prabang,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-lucerne,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-lugano,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-luxor,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-lyon,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-madeira,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-madrid,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-malaga,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-maldives,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-mallorca,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-manila,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-marrakech,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-marseille,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-matera,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-maui,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-mauritius,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-medellin,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-melbourne,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-merida,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-mexico-city,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-miami,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-milan,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-montreal,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-montreux,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-mumbai,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-munich,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-murren,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-muscat,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-mykonos,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-myrtle-beach,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-nadi,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-nairobi,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-naples,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-nara,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-nashville,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-new-orleans,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-new-york,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-nice,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-oaxaca,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-okinawa,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-orlando,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-osaka,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-oslo,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-outer-banks,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-palermo,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-palm-springs,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-panama-city,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-paris,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-pattaya,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-penang,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-perth,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-petra,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-phuket,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-playa-del-carmen,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-pokhara,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-porto,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-positano,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-prague,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-puerto-vallarta,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-quebec-city,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-queenstown,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-quito,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-reykjavik,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-rhodes,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-rio-de-janeiro,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-rome,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-salzburg,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-san-diego,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-san-francisco,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-san-juan,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-san-miguel-de-allende,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-san-sebastian,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-santiago,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-santorini,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-sapporo,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-savannah,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-scottsdale,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-seattle,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-seoul,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-seville,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-shanghai,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-sharm-el-sheikh,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-siem-reap,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-singapore,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-sintra,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-sorrento,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-split,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-st-moritz,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-stockholm,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-strasbourg,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-sydney,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-taipei,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-tallinn,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-tel-aviv,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-texas-hill-country,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-tokyo,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-toronto,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-tulum,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-udaipur,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-ushuaia,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-valencia,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-vancouver,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-varanasi,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-venice,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-verona,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-victoria-falls,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-vienna,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-warsaw,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-washington-dc,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-wellington,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-wengen,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-whistler,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-yogyakarta,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-zanzibar,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-zermatt,0,1,0,0,1
OTHER: hotels/eco-friendly-hotels-in-zurich,0,1,0,0,1
OTHER: hotels/hostels-in-abu-dhabi,0,1,0,0,1
OTHER: hotels/hostels-in-agra,0,1,0,0,1
OTHER: hotels/hostels-in-amman,0,1,0,0,1
OTHER: hotels/hostels-in-amsterdam,0,1,0,0,1
OTHER: hotels/hostels-in-antwerp,0,1,0,0,1
OTHER: hotels/hostels-in-athens,0,1,0,0,1
OTHER: hotels/hostels-in-auckland,0,1,0,0,1
OTHER: hotels/hostels-in-austin,0,1,0,0,1
OTHER: hotels/hostels-in-bali,0,1,0,0,1
OTHER: hotels/hostels-in-banff,0,1,0,0,1
OTHER: hotels/hostels-in-bangkok,0,1,0,0,1
OTHER: hotels/hostels-in-barcelona,0,1,0,0,1
OTHER: hotels/hostels-in-basel,0,1,0,0,1
OTHER: hotels/hostels-in-beijing,0,1,0,0,1
OTHER: hotels/hostels-in-bergen,0,1,0,0,1
OTHER: hotels/hostels-in-berlin,0,1,0,0,1
OTHER: hotels/hostels-in-bern,0,1,0,0,1
OTHER: hotels/hostels-in-blue-ridge,0,1,0,0,1
OTHER: hotels/hostels-in-bogota,0,1,0,0,1
OTHER: hotels/hostels-in-bologna,0,1,0,0,1
OTHER: hotels/hostels-in-bora-bora,0,1,0,0,1
OTHER: hotels/hostels-in-boracay,0,1,0,0,1
OTHER: hotels/hostels-in-bordeaux,0,1,0,0,1
OTHER: hotels/hostels-in-boston,0,1,0,0,1
OTHER: hotels/hostels-in-brisbane,0,1,0,0,1
OTHER: hotels/hostels-in-broken-bow,0,1,0,0,1
OTHER: hotels/hostels-in-bruges,0,1,0,0,1
OTHER: hotels/hostels-in-brussels,0,1,0,0,1
OTHER: hotels/hostels-in-bucharest,0,1,0,0,1
OTHER: hotels/hostels-in-budapest,0,1,0,0,1
OTHER: hotels/hostels-in-buenos-aires,0,1,0,0,1
OTHER: hotels/hostels-in-busan,0,1,0,0,1
OTHER: hotels/hostels-in-cabo-san-lucas,0,1,0,0,1
OTHER: hotels/hostels-in-cairns,0,1,0,0,1
OTHER: hotels/hostels-in-cairo,0,1,0,0,1
OTHER: hotels/hostels-in-cancun,0,1,0,0,1
OTHER: hotels/hostels-in-cape-town,0,1,0,0,1
OTHER: hotels/hostels-in-cappadocia,0,1,0,0,1
OTHER: hotels/hostels-in-cartagena,0,1,0,0,1
OTHER: hotels/hostels-in-casablanca,0,1,0,0,1
OTHER: hotels/hostels-in-cebu,0,1,0,0,1
OTHER: hotels/hostels-in-charleston,0,1,0,0,1
OTHER: hotels/hostels-in-chefchaouen,0,1,0,0,1
OTHER: hotels/hostels-in-chiang-mai,0,1,0,0,1
OTHER: hotels/hostels-in-chicago,0,1,0,0,1
OTHER: hotels/hostels-in-cinque-terre,0,1,0,0,1
OTHER: hotels/hostels-in-cologne,0,1,0,0,1
OTHER: hotels/hostels-in-colombo,0,1,0,0,1
OTHER: hotels/hostels-in-copenhagen,0,1,0,0,1
OTHER: hotels/hostels-in-corfu,0,1,0,0,1
OTHER: hotels/hostels-in-crete,0,1,0,0,1
OTHER: hotels/hostels-in-cusco,0,1,0,0,1
OTHER: hotels/hostels-in-da-nang,0,1,0,0,1
OTHER: hotels/hostels-in-delhi,0,1,0,0,1
OTHER: hotels/hostels-in-denver,0,1,0,0,1
OTHER: hotels/hostels-in-destin,0,1,0,0,1
OTHER: hotels/hostels-in-doha,0,1,0,0,1
OTHER: hotels/hostels-in-dubai,0,1,0,0,1
OTHER: hotels/hostels-in-dublin,0,1,0,0,1
OTHER: hotels/hostels-in-dubrovnik,0,1,0,0,1
OTHER: hotels/hostels-in-edinburgh,0,1,0,0,1
OTHER: hotels/hostels-in-el-nido,0,1,0,0,1
OTHER: hotels/hostels-in-fes,0,1,0,0,1
OTHER: hotels/hostels-in-florence,0,1,0,0,1
OTHER: hotels/hostels-in-fukuoka,0,1,0,0,1
OTHER: hotels/hostels-in-gatlinburg,0,1,0,0,1
OTHER: hotels/hostels-in-geneva,0,1,0,0,1
OTHER: hotels/hostels-in-goa,0,1,0,0,1
OTHER: hotels/hostels-in-gold-coast,0,1,0,0,1
OTHER: hotels/hostels-in-granada,0,1,0,0,1
OTHER: hotels/hostels-in-grindelwald,0,1,0,0,1
OTHER: hotels/hostels-in-hakone,0,1,0,0,1
OTHER: hotels/hostels-in-hallstatt,0,1,0,0,1
OTHER: hotels/hostels-in-hamburg,0,1,0,0,1
OTHER: hotels/hostels-in-hanoi,0,1,0,0,1
OTHER: hotels/hostels-in-havana,0,1,0,0,1
OTHER: hotels/hostels-in-helsinki,0,1,0,0,1
OTHER: hotels/hostels-in-hiroshima,0,1,0,0,1
OTHER: hotels/hostels-in-ho-chi-minh-city,0,1,0,0,1
OTHER: hotels/hostels-in-hoi-an,0,1,0,0,1
OTHER: hotels/hostels-in-hong-kong,0,1,0,0,1
OTHER: hotels/hostels-in-honolulu,0,1,0,0,1
OTHER: hotels/hostels-in-hue,0,1,0,0,1
OTHER: hotels/hostels-in-ibiza,0,1,0,0,1
OTHER: hotels/hostels-in-innsbruck,0,1,0,0,1
OTHER: hotels/hostels-in-interlaken,0,1,0,0,1
